"","ID","gene"
"968","6509","SLC1A4"
"969","94239","H2AZ2"
"970","5827","PXMP2"
"971","670","BPHL"
"972","54681","P4HTM"
"973","8800","PEX11A"
"974","8270","LAGE3"
"975","9289","ADGRG1"
"976","51742","ARID4B"
"977","8569","MKNK1"
"978","8318","CDC45"
